City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
202,Dasoguz,41.8363,59.9666,42.75,61,0,9.22,TM,2022-02-13 06:26:52
203,Mandurah,-32.55,115.7,93.15,58,0,18.03,AU,2022-02-13 06:26:53
204,Sao Filipe,14.8961,-24.4956,76.55,49,100,20.18,CV,2022-02-13 06:20:32
205,Sturgeon Bay,44.8342,-87.377,6.1,78,0,5.75,US,2022-02-13 06:26:54
206,Vanimo,-2.6741,141.3028,84.6,70,34,9.13,PG,2022-02-13 06:26:54
207,Estelle,29.8458,-90.1067,51.01,58,56,15.01,US,2022-02-13 06:26:55
208,Faanui,-16.4833,-151.75,81.77,70,98,12.41,PF,2022-02-13 06:26:55
209,Cabedelo,-6.9811,-34.8339,79.47,79,23,7.38,BR,2022-02-13 06:26:56
210,Puerto Ayora,-0.7393,-90.3518,74.55,94,77,3.83,EC,2022-02-13 06:22:29
211,Taoudenni,22.6783,-3.9836,57.69,26,0,13.11,ML,2022-02-13 06:26:57
212,Vao,-22.6667,167.4833,81.07,76,98,7.05,NC,2022-02-13 06:26:57
213,Inhambane,-23.865,35.3833,84.18,61,20,4.61,MZ,2022-02-13 06:26:58
214,Jutai,-5.1833,-68.9,72.41,99,65,0.67,BR,2022-02-13 06:26:58
215,Ballina,-28.8667,153.5667,77.18,70,75,17.27,AU,2022-02-13 06:26:59
216,Norman Wells,65.282,-126.8329,-16.56,69,75,6.91,CA,2022-02-13 06:26:59
217,Novoagansk,61.9449,76.6625,-2.83,94,10,9.19,RU,2022-02-13 06:27:00
218,Husavik,66.0449,-17.3389,17.51,94,50,13.6,IS,2022-02-13 06:23:34
219,Nemuro,43.3236,145.575,27.03,81,100,6.85,JP,2022-02-13 06:27:00
220,Gemena,3.25,19.7667,73.76,39,71,0.67,CD,2022-02-13 06:25:12
221,Petrozavodsk,61.7849,34.3469,18.86,93,100,8.95,RU,2022-02-13 06:27:01
222,Nantucket,41.2835,-70.0995,41.14,76,76,14.27,US,2022-02-13 06:27:02
223,Tiruvannamalai,12.2167,79.0667,83.95,46,21,9.69,IN,2022-02-13 06:27:02
224,Shagonar,51.5333,92.8,-15.34,90,87,0.43,RU,2022-02-13 06:27:02
225,Zhanaozen,43.3,52.8,43.2,87,86,16.24,KZ,2022-02-13 06:28:04
226,Ganzhou,28.8184,115.4327,45.64,85,100,2.53,CN,2022-02-13 06:28:04
227,Klaksvik,62.2266,-6.589,36.52,97,100,41.76,FO,2022-02-13 06:28:05
228,Isilkul,54.9109,71.2728,4.98,92,99,4.25,RU,2022-02-13 06:28:05
229,Nouadhibou,20.931,-17.0347,62.58,72,84,18.41,MR,2022-02-13 06:28:05
230,Chapais,49.7834,-74.8492,-24.02,100,50,2.77,CA,2022-02-13 06:28:06
231,Nanortalik,60.1432,-45.2371,25.95,90,100,2.15,GL,2022-02-13 06:28:06
232,San Quintin,30.4833,-115.95,64.17,44,89,4.23,MX,2022-02-13 06:28:07
233,Sal Rei,16.1833,-22.9167,70.36,71,96,21.68,CV,2022-02-13 06:28:07
234,Hokitika,-42.7167,170.9667,57.81,63,100,6.85,NZ,2022-02-13 06:28:08
235,Cap Malheureux,-19.9842,57.6142,86.49,71,29,11.99,MU,2022-02-13 06:28:08
236,Pangkalanbuun,-2.6833,111.6167,82.85,69,99,1.79,ID,2022-02-13 06:28:09
237,Porto Novo,6.4965,2.6036,82.22,89,19,4.38,BJ,2022-02-13 06:28:09
238,Gupitan,7.7758,125.6406,85.82,67,83,9.06,PH,2022-02-13 06:28:11
239,Iqaluit,63.7506,-68.5145,-22.27,74,75,3.44,CA,2022-02-13 06:28:12
240,Silale,55.4906,22.1814,29.59,69,99,12.71,LT,2022-02-13 06:28:12
241,Fare,-16.7,-151.0167,81.03,75,74,14.85,PF,2022-02-13 06:28:13
242,Pointe Michel,15.25,-61.3833,76.78,73,13,20.62,DM,2022-02-13 06:28:13
243,Tura,25.5198,90.2201,74.41,33,0,2.86,IN,2022-02-13 06:28:13
244,Cherskiy,68.75,161.3,-15.63,98,100,9.28,RU,2022-02-13 06:28:14
245,Butaritari,3.0707,172.7902,82.38,76,88,12.66,KI,2022-02-13 06:28:14
246,Baghdad,33.3406,44.4009,53.51,47,0,12.66,IQ,2022-02-13 06:28:15
247,Aguimes,27.9054,-15.4461,57.83,72,20,15.01,ES,2022-02-13 06:28:15
248,Mendi,-6.1761,143.6513,61.03,90,88,2.48,PG,2022-02-13 06:28:16
249,Shahreza,32.0339,51.8794,40.62,66,93,6.04,IR,2022-02-13 06:28:16
250,Ust-Nera,64.5667,143.2,-27.04,99,57,2.77,RU,2022-02-13 06:28:17
251,Beloha,-25.1667,45.05,81.95,62,3,14.34,MG,2022-02-13 06:28:17
252,East London,-33.0153,27.9116,77.94,88,75,14.97,ZA,2022-02-13 06:28:18
253,Lorengau,-2.0226,147.2712,83.43,74,85,3.24,PG,2022-02-13 06:20:36
